CL_NUM,PC_COD,PC_POR,PC_MON,PC_KEY
810,1,0.0,3500.0,000081001
811,1,1.1,3500.0,000081101
812,1,0.0,3500.0,000081201
813,1,0.0,3500.0,000081301
814,1,0.0,3500.0,000081401
815,1,0.0,3500.0,000081501
816,1,0.0,3500.0,000081601
817,1,1.6,3500.0,000081701
818,1,3.0,3500.0,000081801
819,1,5.0,3500.0,000081901
820,1,0.0,3500.0,000082001
821,1,2.5,3500.0,000082101
822,1,0.0,3500.0,000082201
823,1,0.0,3500.0,000082301
824,1,0.5,3500.0,000082401
825,1,0.0,3500.0,000082501
826,1,0.9,3500.0,000082601
828,1,0.0,3500.0,000082801
829,1,2.5,3500.0,000082901
830,1,0.0,3500.0,000083001
831,1,2.5,3500.0,000083101
832,1,0.0,3500.0,000083201
834,1,0.0,3500.0,000083401
835,1,0.0,3500.0,000083501
836,1,0.0,3500.0,000083601
838,1,0.0,3500.0,000083801
839,1,0.0,3500.0,000083901
841,1,4.0,3500.0,000084101
842,1,0.0,3500.0,000084201
844,1,0.0,3500.0,000084401
845,1,0.0,3500.0,000084501
846,1,1.1,3500.0,000084601
847,1,1.6,3500.0,000084701
848,1,0.5,3500.0,000084801
849,1,2.0,3500.0,000084901
850,1,0.0,3500.0,000085001
851,1,0.0,3500.0,000085101
852,1,0.0,3500.0,000085201
853,1,0.0,49.99,000085301
854,1,6.0,3500.0,000085401
855,1,5.0,3500.0,000085501
856,1,2.5,3500.0,000085601
857,1,5.0,3500.0,000085701
858,1,1.5,3500.0,000085801
859,1,1.5,3500.0,000085901
860,1,0.0,3500.0,000086001
861,1,4.0,3500.0,000086101
863,1,0.0,3500.0,000086301
864,1,0.0,3500.0,000086401
865,1,2.5,3500.0,000086501
866,1,0.0,3500.0,000086601
867,1,0.0,49.99,000086701
868,1,0.0,3500.0,000086801
869,1,2.5,3500.0,000086901
870,1,0.0,49.99,000087001
871,1,0.0,3500.0,000087101
872,1,2.5,3500.0,000087201
873,1,0.5,3500.0,000087301
874,1,0.0,3500.0,000087401
875,1,6.0,3500.0,000087501
876,1,1.6,3500.0,000087601
877,1,0.0,3500.0,000087701
878,1,0.0,3500.0,000087801
879,1,0.2,3500.0,000087901
880,1,0.0,3500.0,000088001
881,1,0.0,3500.0,000088101
882,1,0.3,3500.0,000088201
883,1,0.0,3500.0,000088301
884,1,0.0,3500.0,000088401
885,1,2.5,3500.0,000088501
886,1,0.0,3500.0,000088601
887,1,0.0,3500.0,000088701
888,1,0.0,3500.0,000088801
889,1,4.0,3500.0,000088901
890,1,3.5,3500.0,000089001
891,1,0.0,3500.0,000089101
893,1,0.0,3500.0,000089301
894,1,2.5,3500.0,000089401
895,1,0.3,3500.0,000089501
897,1,6.0,3500.0,000089701
898,1,0.0,3500.0,000089801
