PR_NUM,RT_COD,RT_POR,RT_MON,RT_KEY,RT_ACU,RT_IVA
503,50,5.0,19000.0,000050350,0,0
504,50,1.75,19000.0,000050450,0,0
505,50,2.0,19000.0,000050550,0,0
506,50,2.5,19000.0,000050650,0,0
507,50,0.0,19000.0,000050750,0,0
508,50,0.0,19000.0,000050850,0,0
510,50,0.7,19000.0,000051050,0,0
511,50,0.0,19000.0,000051150,0,0
512,50,0.0,19000.0,000051250,0,0
513,50,0.0,19000.0,000051350,0,0
514,50,2.5,19000.0,000051450,0,0
515,50,0.0,19000.0,000051550,0,0
516,50,1.75,19000.0,000051650,0,0
517,50,0.0,19000.0,000051750,0,0
519,50,1.75,19000.0,000051950,0,0
521,50,0.0,19000.0,000052150,0,0
522,50,0.0,19000.0,000052250,0,0
524,50,0.0,19000.0,000052450,0,0
525,50,2.5,19000.0,000052550,0,0
526,50,1.2,19000.0,000052650,0,0
528,50,1.75,19000.0,000052850,0,0
529,50,5.0,19000.0,000052950,0,0
530,50,0.0,399.99,000053050,0,0
532,50,0.7,19000.0,000053250,0,0
533,50,0.7,19000.0,000053350,0,0
536,50,2.5,19000.0,000053650,0,0
538,50,0.0,19000.0,000053850,0,0
539,50,5.0,19000.0,000053950,0,0
540,50,1.3,19000.0,000054050,0,0
541,50,1.6,19000.0,000054150,0,0
545,50,2.5,19000.0,000054550,0,0
546,50,5.0,19000.0,000054650,0,0
548,50,0.0,19000.0,000054850,0,0
549,50,0.0,19000.0,000054950,0,0
551,50,1.75,19000.0,000055150,0,0
554,50,0.7,19000.0,000055450,0,0
555,50,1.75,19000.0,000055550,0,0
556,50,4.0,19000.0,000055650,0,0
557,50,2.0,19000.0,000055750,0,0
558,50,0.7,19000.0,000055850,0,0
559,50,0.0,19000.0,000055950,0,0
560,50,0.0,19000.0,000056050,0,0
561,50,0.9,19000.0,000056150,0,0
562,50,1.2,19000.0,000056250,0,0
564,50,1.5,19000.0,000056450,0,0
565,50,0.0,19000.0,000056550,0,0
566,50,1.75,19000.0,000056650,0,0
568,50,0.0,19000.0,000056850,0,0
570,50,0.7,19000.0,000057050,0,0
572,50,0.0,19000.0,000057250,0,0
574,50,0.0,19000.0,000057450,0,0
575,50,0.7,19000.0,000057550,0,0
576,50,0.0,19000.0,000057650,0,0
579,50,2.0,19000.0,000057950,0,0
581,50,0.9,19000.0,000058150,0,0
582,50,2.5,19000.0,000058250,0,0
583,50,1.75,19000.0,000058350,0,0
585,50,0.9,19000.0,000058550,0,0
